Gene	Transcript abundance	Protein abundance	Cook's distance
ELANE	-2.9149359172948	-2.73247933268589	0.0326619799365757
APOA4	3.18742562721521	1.13085234417872	0.00344767185252819
XPO7	-0.25698026782342	-3.52013436641195	0.0036498413452109
ENSBTAG00000039321	0.849766660006376	-3.37786547651164	0.00924339166131189
NUP133	-0.471748306841294	-3.94175587184567	0.00635556694128944
IGF2R	-0.138176497417527	3.81890748722768	0.0041946901624065
DPT	3.22774034407681	-0.779243078144536	0.0131757412892698
NGP	0	-3.06126305873808	0.0022776494359918
CD177	2.05749902195217	-4.17326291701453	0.0682660474029383
FDFT1	1.00188131112863	1.57325986856576	0.00213027140198884
ENSBTAG00000001219	-0.16049768463787	-2.90050529560261	0.00220186115274779
MYH7B	3.49871844792454	0	0.0027278634534582
TTN	0.885260079470418	2.06415541378735	0.00322210830299864
HMGCS1	1.61931326329348	1.63813696902639	0.00451135997432366
COL4A3BP	-0.668282626044502	-3.26268679570998	0.00588490342544795
COL1A2	2.73868263315899	1.95588089436788	0.0144483551810068
COL1A1	2.6587254376258	1.45600177806529	0.00644470527237661
RPL26	0.00902964513722299	3.24737316375727	0.00279252804572094
COG1	0.237783712752	-3.11697311458278	0.00275384839067098
PLIN2	0.996903560269073	2.1857108122224	0.00424494349419201
ABHD1	1.6541968936546	2.09176437794844	0.00808421470607467
ACSL1	1.3717618101773	1.36827228948771	0.00237870808393196
HP	3.88554903224804	2.57072665348021	0.046804963630171
PRKCA	-0.221965560003972	-3.83064109288819	0.00416375265572949
CD302	-0.948923892788859	1.18304083367629	0.00195869437812132
S100A9	1.41712060712835	-2.09440705732248	0.00895370403500208
SMARCC2	-0.0756974384560623	-3.00537392736954	0.00223559394664576
ENSBTAG00000039356	-1.03097667854711	1.99448333907833	0.00555216577140021
MTREX	-0.448417082294034	-3.66702824852328	0.00526618417561789
GTF2I	-0.12555591250366	-3.34287324759721	0.00286778945992304
ATP1A2	6.44629892432223	0.287197086884257	0.0193925590707827
AK4	-1.52224554948847	0.675376199959392	0.00211125676486373
SH3GLB2	0.974669523525322	-3.32013681473389	0.011034422797616
EEA1	-0.875321075605173	1.86356638885298	0.00378671748563891
ENSBTAG00000047986	2.06611473033604	-0.730578051203974	0.00357123824391697
FCHSD1	-0.148295663539662	-2.77735426086566	0.0019918414876586
PLEK2	0.618360279488364	4.2518866074073	0.00929939729006902
PALM3	0.512322240423566	2.37058279410615	0.00241031251941612
F10	-0.322542067139447	-4.56679930611141	0.00682648241287083
FASN	1.43061872295273	1.24886923405947	0.00203761326313154
DNAJB2	0.321212818545423	-2.5219900438697	0.00202004898221751
CDK3	1.05563809929357	1.6126241645412	0.00240503773298044
LCN2	0.972643389541542	-2.21633411690504	0.00504092726390342
SORBS3	-0.34398886904237	-2.52595178031134	0.00205636038705325
PFKFB1	-0.477431151969362	-3.73955135621169	0.00574854842382983
SCIN	-0.801133115587259	-3.76882813425142	0.00983697057610758
PCYT1A	-0.458387271795356	2.06516975900413	0.00211536531794573
ENSBTAG00000046076	2.16328729999773	-0.699484631414698	0.00378676522273929
CLUH	0.440067305574023	4.74782097046123	0.00867482163341257
KATNAL2	1.91801168195953	1.25849926843868	0.00300722030419947
ENSBTAG00000003523	-1.67006776957495	-1.34243708994059	0.00239775242759939
ACSS2	2.11059820758417	-0.651866245459246	0.00321585711160221
MCM5	0.537299028413052	-2.4381304788855	0.0027547422064187
PYGM	6.07171183756271	-0.0607922845450672	0.0324285913549965
ENSBTAG00000031788	-2.23629901602243	-1.33089254655393	0.00324299464466319
VPS41	-0.643098848098712	-2.6141756046634	0.00352471410728634
SEC23B	0.189678892422861	2.86703168339507	0.00231673202544895
IPO7	-0.26357765942591	-2.66678788800917	0.00206736211733613
ALOX15B	-0.628421505619874	-3.62676414976085	0.00689968376084064
THY1	3.25500042293801	-0.730700531477355	0.0124840922789387
ANGPTL2	-0.429731182753547	3.09320539095246	0.00430893442035821
ENSBTAG00000038755	-0.707757223220039	3.02979864925088	0.00688227826424974
MYO18A	-0.210367984143833	2.4826886900102	0.00198260246056287
PPP1R18	0.286139747687452	3.37830270925392	0.00353660783063745
FBXO30	-0.34714646009975	-3.94716552122291	0.00524078253565076
LTF	2.12974244160032	-2.42940028128365	0.0272501709324674
DYSF	-0.232486484478733	-2.6444149316649	0.00195664682455055
AZU1	-5.56187360953426	-2.22635636233716	0.0373756490756873
PLEKHA7	0.236044683981082	-3.16729289066755	0.00283821438413756
DGKQ	0.216039232232214	-3.78148958703161	0.00396375607793918
FAM129B	0.848002632055455	-1.87035409437035	0.00292656770483447
C13H20orf194	-0.669740148360295	-5.64073190818418	0.0185292681952754
USF3	-0.306150066663511	-3.02339189319263	0.00284130368692311
CYP2C19	-1.81434738950474	-1.77338099003776	0.0055427245563273
FCHO2	-0.565820776245037	-2.16668977881396	0.0020820658472291
MFN1	-0.350325574316387	-4.06254498306145	0.00558877378048231
RBM39	-0.292179349267795	-3.23037176020894	0.00319924536563904
EPN3	0.416707844236386	-3.19260104971195	0.00379123402829967
